,primaryName_y,freq,Name
131,Albert Brooks,2,Andrew Bergman
151,Mike Lobell,7,Andrew Bergman
3,Jack Warden,2,Mike Lobell
18,Ennio Morricone,2,Mike Lobell
19,Barry Malkin,4,Mike Lobell
21,Ryan O'Neal,2,Mike Lobell
22,Jack Warden,2,Mike Lobell
25,Andrew Bergman,7,Mike Lobell
27,Ennio Morricone,2,Mike Lobell
40,William A. Fraker,3,Mike Lobell
43,Ryan O'Neal,2,Mike Lobell
55,Andrew Bergman,7,Mike Lobell
57,David Newman,3,Mike Lobell
58,William A. Fraker,3,Mike Lobell
59,Barry Malkin,4,Mike Lobell
62,Nicolas Cage,2,Mike Lobell
65,Andrew Bergman,7,Mike Lobell
67,David Newman,3,Mike Lobell
68,William A. Fraker,3,Mike Lobell
69,Barry Malkin,4,Mike Lobell
74,Stanley Tucci,2,Mike Lobell
78,David Newman,3,Mike Lobell
79,Donald E. Thorin,2,Mike Lobell
80,Barry Malkin,4,Mike Lobell
81,Nicolas Cage,2,Mike Lobell
85,Andrew Bergman,7,Mike Lobell
90,Donald E. Thorin,2,Mike Lobell
105,Andrew Bergman,7,Mike Lobell
115,Andrew Bergman,7,Mike Lobell
134,Stanley Tucci,2,Mike Lobell
140,Andrew Bergman,7,Mike Lobell
1,James Caan,2,Barry Malkin
3,Robert Duvall,2,Barry Malkin
5,Francis Ford Coppola,3,Barry Malkin
31,Al Pacino,2,Barry Malkin
33,Robert Duvall,2,Barry Malkin
34,Diane Keaton,2,Barry Malkin
35,Francis Ford Coppola,3,Barry Malkin
36,Mario Puzo,2,Barry Malkin
38,Gordon Willis,3,Barry Malkin
61,Talia Shire,2,Barry Malkin
65,Gordon Willis,3,Barry Malkin
67,Mike Lobell,4,Barry Malkin
75,Andrew Bergman,3,Barry Malkin
76,Mike Lobell,4,Barry Malkin
77,David Newman,2,Barry Malkin
78,William A. Fraker,2,Barry Malkin
81,Al Pacino,2,Barry Malkin
82,Diane Keaton,2,Barry Malkin
84,Talia Shire,2,Barry Malkin
85,Francis Ford Coppola,3,Barry Malkin
86,Mario Puzo,2,Barry Malkin
88,Gordon Willis,3,Barry Malkin
91,James Caan,2,Barry Malkin
92,Nicolas Cage,2,Barry Malkin
95,Andrew Bergman,3,Barry Malkin
96,Mike Lobell,4,Barry Malkin
97,David Newman,2,Barry Malkin
98,William A. Fraker,2,Barry Malkin
101,Nicolas Cage,2,Barry Malkin
105,Andrew Bergman,3,Barry Malkin
107,Mike Lobell,4,Barry Malkin
19,Peter Menzies Jr.,2,Samuel L. Jackson
20,Willem Dafoe,2,Samuel L. Jackson
26,Scott Rudin,5,Samuel L. Jackson
30,Nicolas Cage,2,Samuel L. Jackson
55,Lawrence Bender,4,Samuel L. Jackson
59,David Wasco,2,Samuel L. Jackson
60,John Travolta,2,Samuel L. Jackson
63,Bruce Willis,4,Samuel L. Jackson
64,Quentin Tarantino,3,Samuel L. Jackson
66,Lawrence Bender,4,Samuel L. Jackson
68,Sally Menke,3,Samuel L. Jackson
69,Peter Menzies Jr.,2,Samuel L. Jackson
70,Bruce Willis,4,Samuel L. Jackson
74,John McTiernan,2,Samuel L. Jackson
77,Michael Tadross,2,Samuel L. Jackson
92,Nicolas Cage,2,Samuel L. Jackson
98,Richard Price,3,Samuel L. Jackson
114,Renny Harlin,3,Samuel L. Jackson
118,Guillermo Navarro,2,Samuel L. Jackson
120,Matthew McConaughey,2,Samuel L. Jackson
121,Sandra Bullock,2,Samuel L. Jackson
123,Kevin Spacey,2,Samuel L. Jackson
125,John Grisham,2,Samuel L. Jackson
126,Akiva Goldsman,2,Samuel L. Jackson
128,Arnon Milchan,2,Samuel L. Jackson
144,Kasi Lemmons,2,Samuel L. Jackson
145,Caldecot Chubb,2,Samuel L. Jackson
147,Amy Vincent,2,Samuel L. Jackson
151,John C. Reilly,2,Samuel L. Jackson
159,David Wasco,2,Samuel L. Jackson
164,Quentin Tarantino,3,Samuel L. Jackson
166,Lawrence Bender,4,Samuel L. Jackson
167,Guillermo Navarro,2,Samuel L. Jackson
168,Sally Menke,3,Samuel L. Jackson
181,Kevin Spacey,2,Samuel L. Jackson
188,Arnon Milchan,2,Samuel L. Jackson
190,Hayden Christensen,3,Samuel L. Jackson
204,Renny Harlin,3,Samuel L. Jackson
208,Akiva Goldsman,2,Samuel L. Jackson
217,Scott Rudin,5,Samuel L. Jackson
219,David Arnold,2,Samuel L. Jackson
224,John Singleton,2,Samuel L. Jackson
225,Ernest Tidyman,2,Samuel L. Jackson
227,Richard Price,3,Samuel L. Jackson
228,Scott Rudin,5,Samuel L. Jackson
234,Kasi Lemmons,2,Samuel L. Jackson
240,Bruce Willis,4,Samuel L. Jackson
244,M. Night Shyamalan,2,Samuel L. Jackson
247,James Newton Howard,2,Samuel L. Jackson
257,Andras Hamori,4,Samuel L. Jackson
270,John Travolta,2,Samuel L. Jackson
274,John McTiernan,2,Samuel L. Jackson
276,Mike Medavoy,2,Samuel L. Jackson
278,Michael Tadross,2,Samuel L. Jackson
287,Scott Rudin,5,Samuel L. Jackson
288,David Arnold,2,Samuel L. Jackson
289,Sandra Bullock,2,Samuel L. Jackson
290,John Grisham,2,Samuel L. Jackson
292,Matthew McConaughey,2,Samuel L. Jackson
313,Rich Wilkes,2,Samuel L. Jackson
314,Neal H. Moritz,2,Samuel L. Jackson
321,Hayden Christensen,3,Samuel L. Jackson
350,Willem Dafoe,2,Samuel L. Jackson
353,Rich Wilkes,2,Samuel L. Jackson
354,Simon Kinberg,2,Samuel L. Jackson
355,Neal H. Moritz,2,Samuel L. Jackson
373,Richard Price,3,Samuel L. Jackson
374,Scott Rudin,5,Samuel L. Jackson
375,James Newton Howard,2,Samuel L. Jackson
384,John Gatins,2,Samuel L. Jackson
407,Mike Medavoy,2,Samuel L. Jackson
428,John Cusack,2,Samuel L. Jackson
436,Stephen King,2,Samuel L. Jackson
437,Kevin Feige,3,Samuel L. Jackson
438,Chris Evans,2,Samuel L. Jackson
443,Christopher Markus,2,Samuel L. Jackson
444,Stephen McFeely,2,Samuel L. Jackson
445,Joe Simon,2,Samuel L. Jackson
446,Jack Kirby,2,Samuel L. Jackson
454,John Singleton,2,Samuel L. Jackson
456,Amy Vincent,2,Samuel L. Jackson
460,Brie Larson,4,Samuel L. Jackson
466,Hayden Christensen,3,Samuel L. Jackson
473,Simon Kinberg,2,Samuel L. Jackson
475,Avi Lerner,2,Samuel L. Jackson
485,Richard Saperstein,2,Samuel L. Jackson
486,John Cusack,2,Samuel L. Jackson
491,Stephen King,2,Samuel L. Jackson
498,Bradley Whitford,2,Samuel L. Jackson
508,Scarlett Johansson,2,Samuel L. Jackson
509,Jaime King,2,Samuel L. Jackson
515,Avi Lerner,2,Samuel L. Jackson
520,Renny Harlin,3,Samuel L. Jackson
524,Lati Grobman,2,Samuel L. Jackson
532,Caldecot Chubb,2,Samuel L. Jackson
533,Vanessa Coifman,2,Samuel L. Jackson
580,Spike Lee,2,Samuel L. Jackson
587,Andras Hamori,4,Samuel L. Jackson
589,Andras Hamori,4,Samuel L. Jackson
604,Spike Lee,2,Samuel L. Jackson
606,Jaime King,2,Samuel L. Jackson
614,Vanessa Coifman,2,Samuel L. Jackson
625,Jack Kirby,2,Samuel L. Jackson
626,Chris Evans,2,Samuel L. Jackson
628,Scarlett Johansson,2,Samuel L. Jackson
632,Christopher Markus,2,Samuel L. Jackson
633,Stephen McFeely,2,Samuel L. Jackson
634,Joe Simon,2,Samuel L. Jackson
636,Ryan Reynolds,3,Samuel L. Jackson
653,Andras Hamori,4,Samuel L. Jackson
662,Jane Goldman,2,Samuel L. Jackson
666,Ryan Reynolds,3,Samuel L. Jackson
670,Patrick Hughes,2,Samuel L. Jackson
671,Tom O'Connor,2,Samuel L. Jackson
673,Matthew O'Toole,2,Samuel L. Jackson
709,Brie Larson,4,Samuel L. Jackson
711,Bradley Whitford,2,Samuel L. Jackson
724,Jane Goldman,2,Samuel L. Jackson
730,Kurt Russell,2,Samuel L. Jackson
731,Jennifer Jason Leigh,2,Samuel L. Jackson
733,Quentin Tarantino,3,Samuel L. Jackson
734,Richard N. Gladstein,2,Samuel L. Jackson
736,Stacey Sher,2,Samuel L. Jackson
747,Brie Larson,4,Samuel L. Jackson
748,John C. Reilly,2,Samuel L. Jackson
753,John Gatins,2,Samuel L. Jackson
764,Kevin Feige,3,Samuel L. Jackson
765,Brie Larson,4,Samuel L. Jackson
776,Jennifer Jason Leigh,2,Samuel L. Jackson
778,Kurt Russell,2,Samuel L. Jackson
787,Richard Saperstein,2,Samuel L. Jackson
808,Ernest Tidyman,2,Samuel L. Jackson
827,Stacey Sher,2,Samuel L. Jackson
828,Lawrence Bender,4,Samuel L. Jackson
829,Richard N. Gladstein,2,Samuel L. Jackson
831,Sally Menke,3,Samuel L. Jackson
847,Kevin Feige,3,Samuel L. Jackson
859,Bruce Willis,4,Samuel L. Jackson
862,M. Night Shyamalan,2,Samuel L. Jackson
869,Ryan Reynolds,3,Samuel L. Jackson
872,Patrick Hughes,2,Samuel L. Jackson
873,Tom O'Connor,2,Samuel L. Jackson
875,Lati Grobman,2,Samuel L. Jackson
876,Matthew O'Toole,2,Samuel L. Jackson
5,Jonathan Demme,5,Gary Goetzman
20,Tak Fujimoto,4,Gary Goetzman
27,Jonathan Demme,5,Gary Goetzman
31,Nicolas Cage,2,Gary Goetzman
40,Tak Fujimoto,4,Gary Goetzman
51,Tom Hanks,27,Gary Goetzman
55,Jonathan Demme,5,Gary Goetzman
59,Tak Fujimoto,4,Gary Goetzman
61,Nia Vardalos,4,Gary Goetzman
62,John Corbett,2,Gary Goetzman
63,Michael Constantine,2,Gary Goetzman
67,Tom Hanks,27,Gary Goetzman
68,Rita Wilson,3,Gary Goetzman
71,Tom Hanks,27,Gary Goetzman
77,William Broyles Jr.,2,Gary Goetzman
85,Tom Hanks,27,Gary Goetzman
91,Dave Eggers,3,Gary Goetzman
96,Paul Giamatti,2,Gary Goetzman
97,Nicolas Cage,2,Gary Goetzman
98,Julia Roberts,3,Gary Goetzman
99,Meryl Streep,4,Gary Goetzman
103,Tom Hanks,27,Gary Goetzman
108,Tom Hanks,27,Gary Goetzman
112,Blake Neely,2,Gary Goetzman
113,Tak Fujimoto,4,Gary Goetzman
116,Tom Hanks,27,Gary Goetzman
117,Julia Roberts,3,Gary Goetzman
124,James Newton Howard,2,Gary Goetzman
125,Blake Neely,2,Gary Goetzman
133,Tom Hanks,27,Gary Goetzman
135,Nia Vardalos,4,Gary Goetzman
137,Tom Hanks,27,Gary Goetzman
139,Meryl Streep,4,Gary Goetzman
141,Amanda Seyfried,2,Gary Goetzman
144,Catherine Johnson,2,Gary Goetzman
145,Judy Craymer,2,Gary Goetzman
160,Tom Hanks,27,Gary Goetzman
166,Tom Hanks,27,Gary Goetzman
168,William Broyles Jr.,2,Gary Goetzman
172,Tom Hanks,27,Gary Goetzman
175,Tom Hanks,27,Gary Goetzman
179,Tom Hanks,27,Gary Goetzman
184,Tom Hanks,27,Gary Goetzman
185,Julia Roberts,3,Gary Goetzman
188,Nia Vardalos,4,Gary Goetzman
190,James Newton Howard,2,Gary Goetzman
195,Tom Hanks,27,Gary Goetzman
202,Tom Hanks,27,Gary Goetzman
204,Tom Hanks,27,Gary Goetzman
212,Paul Giamatti,2,Gary Goetzman
213,Peter Landesman,2,Gary Goetzman
216,Tom Hanks,27,Gary Goetzman
222,Tom Hanks,27,Gary Goetzman
228,Tom Hanks,27,Gary Goetzman
233,Dave Eggers,3,Gary Goetzman
237,Declan Quinn,2,Gary Goetzman
238,Meryl Streep,4,Gary Goetzman
242,Jonathan Demme,5,Gary Goetzman
248,Nia Vardalos,4,Gary Goetzman
249,John Corbett,2,Gary Goetzman
250,Michael Constantine,2,Gary Goetzman
254,Tom Hanks,27,Gary Goetzman
255,Rita Wilson,3,Gary Goetzman
259,Tom Hanks,27,Gary Goetzman
263,Dave Eggers,3,Gary Goetzman
270,Tom Hanks,27,Gary Goetzman
272,Jonathan Demme,5,Gary Goetzman
274,Declan Quinn,2,Gary Goetzman
281,Peter Landesman,2,Gary Goetzman
286,Tom Hanks,27,Gary Goetzman
295,Tom Hanks,27,Gary Goetzman
304,Amanda Seyfried,2,Gary Goetzman
305,Meryl Streep,4,Gary Goetzman
309,Catherine Johnson,2,Gary Goetzman
310,Judy Craymer,2,Gary Goetzman
312,Tom Hanks,27,Gary Goetzman
316,Rita Wilson,3,Gary Goetzman
4,Marc Coppola,4,Christopher Coppola
13,Nicolas Cage,2,Christopher Coppola
16,Nick Vallelonga,2,Christopher Coppola
18,Jim Fox,4,Christopher Coppola
21,Robert Carradine,2,Christopher Coppola
28,Jim Fox,4,Christopher Coppola
29,Mark Kohl,3,Christopher Coppola
31,Marc Coppola,4,Christopher Coppola
33,Robert Carradine,2,Christopher Coppola
36,Nick Johnson,3,Christopher Coppola
37,Alain Silver,5,Christopher Coppola
38,Jim Fox,4,Christopher Coppola
39,Mark Kohl,3,Christopher Coppola
41,Nick Vallelonga,2,Christopher Coppola
52,Nick Johnson,3,Christopher Coppola
53,Jim Fox,4,Christopher Coppola
55,Marc Coppola,4,Christopher Coppola
59,Nick Johnson,3,Christopher Coppola
60,Nicolas Cage,2,Christopher Coppola
62,Alain Silver,5,Christopher Coppola
63,Mark Kohl,3,Christopher Coppola
70,Alain Silver,5,Christopher Coppola
72,Andrew Giannetta,2,Christopher Coppola
99,Alain Silver,5,Christopher Coppola
101,Andrew Giannetta,2,Christopher Coppola
107,Marc Coppola,4,Christopher Coppola
108,Michele Russo,2,Christopher Coppola
109,Michele Russo,2,Christopher Coppola
127,Alain Silver,5,Christopher Coppola
12,Nicolas Cage,2,Jim Fox
14,Christopher Coppola,4,Jim Fox
20,Robert Carradine,2,Jim Fox
24,Christopher Coppola,4,Jim Fox
28,Mark Kohl,2,Jim Fox
30,Marc Coppola,2,Jim Fox
32,Robert Carradine,2,Jim Fox
34,Christopher Coppola,4,Jim Fox
35,Nick Johnson,2,Jim Fox
36,Alain Silver,2,Jim Fox
38,Mark Kohl,2,Jim Fox
41,Marc Coppola,2,Jim Fox
44,Christopher Coppola,4,Jim Fox
45,Nick Johnson,2,Jim Fox
46,Nicolas Cage,2,Jim Fox
48,Alain Silver,2,Jim Fox
5,Dick Richards,2,Jerry Bruckheimer
6,David Zelag Goodman,2,Jerry Bruckheimer
11,Gene Hackman,3,Jerry Bruckheimer
15,Dick Richards,2,Jerry Bruckheimer
16,David Zelag Goodman,2,Jerry Bruckheimer
18,Maurice Jarre,2,Jerry Bruckheimer
26,Giorgio Moroder,2,Jerry Bruckheimer
58,Maurice Jarre,2,Jerry Bruckheimer
59,Giorgio Moroder,2,Jerry Bruckheimer
68,Don Simpson,7,Jerry Bruckheimer
69,Harold Faltermeyer,2,Jerry Bruckheimer
70,Eddie Murphy,2,Jerry Bruckheimer
75,Daniel Petrie Jr.,2,Jerry Bruckheimer
78,Don Simpson,7,Jerry Bruckheimer
86,Don Simpson,7,Jerry Bruckheimer
87,Harold Faltermeyer,2,Jerry Bruckheimer
90,Tom Cruise,3,Jerry Bruckheimer
93,Val Kilmer,3,Jerry Bruckheimer
94,Tony Scott,5,Jerry Bruckheimer
100,Tom Cruise,3,Jerry Bruckheimer
104,Tony Scott,5,Jerry Bruckheimer
107,Don Simpson,7,Jerry Bruckheimer
108,Hans Zimmer,6,Jerry Bruckheimer
110,Will Smith,3,Jerry Bruckheimer
111,Martin Lawrence,2,Jerry Bruckheimer
114,Michael Bay,3,Jerry Bruckheimer
115,George Gallo,2,Jerry Bruckheimer
119,Hans Zimmer,6,Jerry Bruckheimer
120,Gene Hackman,3,Jerry Bruckheimer
121,Denzel Washington,3,Jerry Bruckheimer
123,George Dzundza,2,Jerry Bruckheimer
124,Tony Scott,5,Jerry Bruckheimer
128,Don Simpson,7,Jerry Bruckheimer
131,George Dzundza,2,Jerry Bruckheimer
138,Don Simpson,7,Jerry Bruckheimer
139,Don Simpson,7,Jerry Bruckheimer
141,Nicolas Cage,3,Jerry Bruckheimer
144,Michael Bay,3,Jerry Bruckheimer
150,Nicolas Cage,3,Jerry Bruckheimer
155,Scott Rosenberg,3,Jerry Bruckheimer
158,Trevor Rabin,7,Jerry Bruckheimer
160,Will Smith,3,Jerry Bruckheimer
161,Gene Hackman,3,Jerry Bruckheimer
162,Jon Voight,2,Jerry Bruckheimer
164,Tony Scott,5,Jerry Bruckheimer
167,Harry Gregson-Williams,3,Jerry Bruckheimer
168,Trevor Rabin,7,Jerry Bruckheimer
169,Trevor Rabin,7,Jerry Bruckheimer
170,Nicolas Cage,3,Jerry Bruckheimer
176,Scott Rosenberg,3,Jerry Bruckheimer
178,Mike Stenson,2,Jerry Bruckheimer
184,David McNally,2,Jerry Bruckheimer
187,Chad Oman,3,Jerry Bruckheimer
190,Denzel Washington,3,Jerry Bruckheimer
194,Boaz Yakin,2,Jerry Bruckheimer
197,Chad Oman,3,Jerry Bruckheimer
198,Trevor Rabin,7,Jerry Bruckheimer
202,Josh Hartnett,2,Jerry Bruckheimer
204,Michael Bay,3,Jerry Bruckheimer
205,Randall Wallace,2,Jerry Bruckheimer
207,Hans Zimmer,6,Jerry Bruckheimer
209,Trevor Rabin,7,Jerry Bruckheimer
214,David McNally,2,Jerry Bruckheimer
217,Scott Rosenberg,3,Jerry Bruckheimer
219,Slawomir Idziak,2,Jerry Bruckheimer
220,Josh Hartnett,2,Jerry Bruckheimer
223,Eric Bana,2,Jerry Bruckheimer
228,Hans Zimmer,6,Jerry Bruckheimer
234,Joel Schumacher,2,Jerry Bruckheimer
244,Joel Schumacher,2,Jerry Bruckheimer
248,Harry Gregson-Williams,3,Jerry Bruckheimer
250,Johnny Depp,4,Jerry Bruckheimer
251,Geoffrey Rush,2,Jerry Bruckheimer
252,Orlando Bloom,3,Jerry Bruckheimer
253,Keira Knightley,4,Jerry Bruckheimer
254,Gore Verbinski,4,Jerry Bruckheimer
255,Ted Elliott,5,Jerry Bruckheimer
256,Terry Rossio,7,Jerry Bruckheimer
257,Stuart Beattie,3,Jerry Bruckheimer
258,Jay Wolpert,3,Jerry Bruckheimer
262,Keira Knightley,4,Jerry Bruckheimer
267,Hans Zimmer,6,Jerry Bruckheimer
268,Slawomir Idziak,2,Jerry Bruckheimer
270,Johnny Depp,4,Jerry Bruckheimer
271,Orlando Bloom,3,Jerry Bruckheimer
272,Keira Knightley,4,Jerry Bruckheimer
274,Gore Verbinski,4,Jerry Bruckheimer
275,Ted Elliott,5,Jerry Bruckheimer
276,Terry Rossio,7,Jerry Bruckheimer
277,Stuart Beattie,3,Jerry Bruckheimer
278,Jay Wolpert,3,Jerry Bruckheimer
283,Jon Voight,2,Jerry Bruckheimer
288,Trevor Rabin,7,Jerry Bruckheimer
289,Trevor Rabin,7,Jerry Bruckheimer
300,Johnny Depp,4,Jerry Bruckheimer
301,Orlando Bloom,3,Jerry Bruckheimer
302,Keira Knightley,4,Jerry Bruckheimer
303,Geoffrey Rush,2,Jerry Bruckheimer
304,Gore Verbinski,4,Jerry Bruckheimer
305,Ted Elliott,5,Jerry Bruckheimer
306,Terry Rossio,7,Jerry Bruckheimer
307,Stuart Beattie,3,Jerry Bruckheimer
308,Jay Wolpert,3,Jerry Bruckheimer
309,Harry Gregson-Williams,3,Jerry Bruckheimer
310,Denzel Washington,3,Jerry Bruckheimer
313,Val Kilmer,3,Jerry Bruckheimer
314,Tony Scott,5,Jerry Bruckheimer
315,Bill Marsilii,2,Jerry Bruckheimer
316,Terry Rossio,7,Jerry Bruckheimer
325,Boaz Yakin,2,Jerry Bruckheimer
326,Doug Miro,2,Jerry Bruckheimer
327,Carlo Bernard,2,Jerry Bruckheimer
349,Carlo Bernard,2,Jerry Bruckheimer
350,Doug Miro,2,Jerry Bruckheimer
362,Hans Zimmer,6,Jerry Bruckheimer
363,Johnny Depp,4,Jerry Bruckheimer
367,Gore Verbinski,4,Jerry Bruckheimer
369,Ted Elliott,5,Jerry Bruckheimer
370,Terry Rossio,7,Jerry Bruckheimer
373,Randall Wallace,2,Jerry Bruckheimer
382,Peter Craig,2,Jerry Bruckheimer
386,Jon Spaihts,2,Jerry Bruckheimer
388,Michael Brandt,2,Jerry Bruckheimer
389,Derek Haas,2,Jerry Bruckheimer
398,Chad Oman,3,Jerry Bruckheimer
399,Mike Stenson,2,Jerry Bruckheimer
400,Michael Brandt,2,Jerry Bruckheimer
401,Derek Haas,2,Jerry Bruckheimer
404,Bill Marsilii,2,Jerry Bruckheimer
405,Terry Rossio,7,Jerry Bruckheimer
409,Tom Cruise,3,Jerry Bruckheimer
411,Val Kilmer,3,Jerry Bruckheimer
413,Peter Craig,2,Jerry Bruckheimer
417,Ted Elliott,5,Jerry Bruckheimer
418,Terry Rossio,7,Jerry Bruckheimer
424,Jon Spaihts,2,Jerry Bruckheimer
427,Eric Bana,2,Jerry Bruckheimer
436,Eddie Murphy,2,Jerry Bruckheimer
441,Daniel Petrie Jr.,2,Jerry Bruckheimer
443,Will Smith,3,Jerry Bruckheimer
444,Martin Lawrence,2,Jerry Bruckheimer
445,George Gallo,2,Jerry Bruckheimer
454,Mitch Albom,2,Jerry Bruckheimer
455,Michael Bolton,2,Jerry Bruckheimer
458,Christina Kline,2,Jerry Bruckheimer
459,Darren Mann,2,Jerry Bruckheimer
460,Sven Pape,2,Jerry Bruckheimer
466,Mitch Albom,2,Jerry Bruckheimer
470,Michael Bolton,2,Jerry Bruckheimer
471,Christina Kline,2,Jerry Bruckheimer
473,Darren Mann,2,Jerry Bruckheimer
474,Sven Pape,2,Jerry Bruckheimer
5,Kuang Ni,2,John Woo
6,Raymond Chow,10,John Woo
10,James Tien,2,John Woo
15,Raymond Chow,10,John Woo
16,Joseph Koo,5,John Woo
17,Peter Cheung,5,John Woo
27,Joseph Koo,5,John Woo
31,James Tien,2,John Woo
32,Jackie Chan,2,John Woo
35,Raymond Chow,10,John Woo
36,Joseph Koo,5,John Woo
38,Peter Cheung,5,John Woo
46,Raymond Chow,10,John Woo
47,Louis Sit,3,John Woo
48,Frankie Chan,4,John Woo
50,Ricky Hui,3,John Woo
54,Louis Sit,3,John Woo
55,Frankie Chan,4,John Woo
56,Tsin Yu,2,John Woo
57,Peter Cheung,5,John Woo
58,Ricky Hui,3,John Woo
60,Ka Yik,2,John Woo
63,Raymond Chow,10,John Woo
66,Peter Cheung,5,John Woo
67,Peter Cheung,5,John Woo
73,Raymond Chow,10,John Woo
74,Frankie Chan,4,John Woo
76,Tsin Yu,2,John Woo
77,Frankie Chan,4,John Woo
78,Ka Yik,2,John Woo
82,Karl Maka,3,John Woo
83,Louis Sit,3,John Woo
86,Raymond Chow,10,John Woo
87,Karl Maka,3,John Woo
88,Dean Shek,3,John Woo
93,Kuo-Chung Chou,2,John Woo
94,Raymond Bak-Ming Wong,4,John Woo
103,Raymond Chow,10,John Woo
105,Kung-Wing Fan,2,John Woo
107,Ricky Hui,3,John Woo
112,Raymond Chow,10,John Woo
113,Siu-Lam Tang,2,John Woo
117,David Tao,2,John Woo
122,Raymond Bak-Ming Wong,4,John Woo
125,Tsan-Ting Lin,2,John Woo
129,Hark Tsui,7,John Woo
131,Raymond Bak-Ming Wong,4,John Woo
132,Karl Maka,3,John Woo
133,Dean Shek,3,John Woo
135,Wing-Hang Wong,5,John Woo
136,Lung Ti,2,John Woo
137,Leslie Cheung,3,John Woo
138,Yun-Fat Chow,7,John Woo
141,Hing-Ka Chan,2,John Woo
143,Hark Tsui,7,John Woo
144,Joseph Koo,5,John Woo
153,Raymond Chow,10,John Woo
154,Siu-Lam Tang,2,John Woo
155,Hark Tsui,7,John Woo
157,Danny Lee,2,John Woo
163,Kuang Ni,2,John Woo
165,David Wu,2,John Woo
166,Leslie Cheung,3,John Woo
167,Yun-Fat Chow,7,John Woo
168,Lung Ti,2,John Woo
169,Dean Shek,3,John Woo
171,Hark Tsui,7,John Woo
172,Joseph Koo,5,John Woo
173,Lowell Lo,3,John Woo
174,Wing-Hang Wong,5,John Woo
175,Kung-Wing Fan,2,John Woo
176,Yun-Fat Chow,7,John Woo
177,Danny Lee,2,John Woo
179,Kong Chu,2,John Woo
181,Hark Tsui,7,John Woo
182,Lowell Lo,3,John Woo
184,Wing-Hang Wong,5,John Woo
185,Wing-Hang Wong,5,John Woo
186,Yun-Fat Chow,7,John Woo
190,Hark Tsui,7,John Woo
194,Lowell Lo,3,John Woo
196,Tony Chiu-Wai Leung,4,John Woo
201,Janet Chun,2,John Woo
202,Patrick Leung,2,John Woo
206,Leslie Cheung,3,John Woo
207,Yun-Fat Chow,7,John Woo
209,Kong Chu,2,John Woo
211,Janet Chun,2,John Woo
213,Terence Chang,19,John Woo
214,Linda Kuk,3,John Woo
216,Yun-Fat Chow,7,John Woo
217,Tony Chiu-Wai Leung,4,John Woo
222,Gordon Chan,2,John Woo
223,Terence Chang,19,John Woo
224,Linda Kuk,3,John Woo
235,Jackie Chan,2,John Woo
242,Kuo-Chung Chou,2,John Woo
243,Yun-Fat Chow,7,John Woo
247,Ka-Fai Wai,2,John Woo
251,Wing-Hang Wong,5,John Woo
263,John Travolta,2,John Woo
270,Terence Chang,19,John Woo
271,Mark Gordon,2,John Woo
272,David Wu,2,John Woo
275,Sammo Kam-Bo Hung,2,John Woo
277,Patrick Leung,2,John Woo
278,Hing-Ka Chan,2,John Woo
279,Linda Kuk,3,John Woo
283,John Travolta,2,John Woo
284,Nicolas Cage,2,John Woo
290,Terence Chang,19,John Woo
311,Tsan-Ting Lin,2,John Woo
313,Nicolas Cage,2,John Woo
320,Terence Chang,19,John Woo
330,Terence Chang,19,John Woo
332,Terence Chang,19,John Woo
333,Tony Chiu-Wai Leung,4,John Woo
334,Takeshi Kaneshiro,4,John Woo
335,Fengyi Zhang,2,John Woo
336,Chen Chang,2,John Woo
338,Khan Chan,2,John Woo
339,Cheng Kuo,2,John Woo
340,Heyu Sheng,2,John Woo
341,Guanzhong Luo,2,John Woo
343,Terence Chang,19,John Woo
355,Tony Chan,2,John Woo
356,Tony Chan,2,John Woo
357,Terence Chang,19,John Woo
359,Terence Chang,19,John Woo
366,Mark Gordon,2,John Woo
379,Terence Chang,19,John Woo
380,Tony Chiu-Wai Leung,4,John Woo
381,Takeshi Kaneshiro,4,John Woo
382,Fengyi Zhang,2,John Woo
383,Chen Chang,2,John Woo
385,Khan Chan,2,John Woo
386,Cheng Kuo,2,John Woo
387,Heyu Sheng,2,John Woo
388,Guanzhong Luo,2,John Woo
390,Rob Frisbee,2,John Woo
398,Chao-Bin Su,3,John Woo
400,Terence Chang,19,John Woo
406,Terence Chang,19,John Woo
408,Masanobu Andô,2,John Woo
410,Sabu Kawahara,2,John Woo
412,Te-Sheng Wei,2,John Woo
413,Terence Chang,19,John Woo
414,Chih-ming Huang,2,John Woo
416,Ting-chang Chin,2,John Woo
417,Tarô Iwashiro,2,John Woo
418,Ziyi Zhang,2,John Woo
419,Takeshi Kaneshiro,4,John Woo
420,Xiaoming Huang,2,John Woo
421,Hye-Kyo Song,2,John Woo
423,Ching-hui Chen,2,John Woo
424,Chao-Bin Su,3,John Woo
425,Hui-Ling Wang,2,John Woo
426,Terence Chang,19,John Woo
427,Terence Chang,19,John Woo
433,Rob Frisbee,2,John Woo
435,Terence Chang,19,John Woo
438,David Tao,2,John Woo
444,Raymond Bak-Ming Wong,4,John Woo
448,Ziyi Zhang,2,John Woo
449,Takeshi Kaneshiro,4,John Woo
450,Xiaoming Huang,2,John Woo
451,Hye-Kyo Song,2,John Woo
453,Hui-Ling Wang,2,John Woo
454,Chao-Bin Su,3,John Woo
455,Ching-hui Chen,2,John Woo
456,Terence Chang,19,John Woo
457,Ting-chang Chin,2,John Woo
460,Masanobu Andô,2,John Woo
461,Sabu Kawahara,2,John Woo
