,names,values
166,Al Pacino,0.0024188281047998615
903,Arnon Milchan,0.0024032540533674477
1172,Brad Pitt,0.0023879390528615324
23236,Fyodor Dostoevsky,0.0023847911774901947
29269,Güven Kiraç,0.002383116680844041
14569,Joe Hisaishi,0.002375458778904604
3512,John Debney,0.0023681436411180307
11659,Til Schweiger,0.0023658153542141305
3072,Dennis Hopper,0.0023644271151729086
5110,Brian Tyler,0.002359908335360856
19297,Anu Malik,0.002353811054389114
4468,Ryan Reynolds,0.002337310132150518
753,Kevin Bacon,0.002336966028079322
4084,Armand Assante,0.002335002489481564
756,Sandra Bullock,0.0023316784864713933
33,Jean-Claude Carrière,0.0023313220127436102
2642,Chloë Grace Moretz,0.002322671084161589
4081,Kate Beckinsale,0.002321209845803132
767,Kevin Spacey,0.002305787372999531
6807,Billy Zane,0.0022943303074803847
25527,Santosh Sivan,0.002291882413756659
4252,Sean Bean,0.00228807792618031
5490,Takashige Ichise,0.0022829775061020342
4603,Steve Buscemi,0.00226845640768866
6616,Javier Bardem,0.002264215136124282
3300,Colin Firth,0.0022612157157283048
1691,Charlotte Rampling,0.0022549074736217325
11854,Dwayne Johnson,0.002247977726215991
775,Robert Downey Jr.,0.002236537416438938
165,Jack Nicholson,0.002203410896951354
1228,Joel Silver,0.0022023787715500956
3193,Thomas Newman,0.002193376384314711
179,James Caan,0.00217991938869697
772,Glenn Close,0.002172549473013545
9597,Edward Lachman,0.0021715986527061585
758,Russell Crowe,0.0021693570553593827
15567,Gerardo Herrero,0.0021615875929081045
5549,Christian Slater,0.002158832046494248
4738,Ron Perlman,0.002158314583780281
1188,Gene Hackman,0.0021524378233516717
3301,Charlize Theron,0.0021497069869894866
783,Kiefer Sutherland,0.0021390958742790018
2634,Diane Kruger,0.0021339452013990697
3305,Matt Dillon,0.0021267597721446527
759,Harrison Ford,0.0021195895680165685
14043,Ziyi Zhang,0.002118633553733368
7983,Mustafa Presheva,0.0021142669443069985
4850,Randall Emmett,0.0021030396843830287
11779,Takashi Miike,0.002093278781739857
2876,Kevin Costner,0.0020909998540692572
9244,Chan-wook Park,0.0020808231793499623
4143,Dustin Hoffman,0.0020798456288494776
2987,Neal H. Moritz,0.0020790312440515267
19356,Tabu,0.002069514240589159
3900,Jason Statham,0.002068963008533754
3068,Wes Craven,0.0020681348419666346
4763,Joaquin Phoenix,0.002066753178288905
4153,Jean Reno,0.0020635045525029287
19376,Ajay Devgn,0.0020627565833263497
5718,Keira Knightley,0.002061697297417793
3218,Roger Birnbaum,0.0020365608711547375
3885,Mickey Rourke,0.0020215513198860377
1175,Jude Law,0.002016176684797243
1180,Mark Wahlberg,0.0020138888676020715
947,Tom Wilkinson,0.0020131936199539904
2954,Jake Gyllenhaal,0.0020075128671111983
5656,Tim Robbins,0.002006397292377219
13389,Abbas Kiarostami,0.0020034535948304697
167,John Barry,0.002000923697849645
4150,Jeremy Irons,0.0019999898162894464
